sku_id,menu_name,brand_canonical,menu_group,country,age,abv,bottle_ml,in_stock,research_priority,database_status,image_status,fact_status,data_gaps,next_action
S024,Johnny Walker green Label 15,Johnnie Walker Green Label 15,КУПАЖИРОВАННЫЙ ВИСКИ,Шотландия,15 лет,40,750,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S025,Dewars 15,Dewar's 15 The Monarch,КУПАЖИРОВАННЫЙ ВИСКИ,Шотландия,15 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S026,Chivas Regal 15,Chivas Regal 15 Year Old,КУПАЖИРОВАННЫЙ ВИСКИ,Шотландия,12 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S027,Bumbu ХО,Bumbu XO,РОМ,Барбадос,18 лет,40,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S028,Arcane Extraroma Grand Amber,Arcane Extraroma Grand Amber 12,РОМ,Маврикий,12 лет,40,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S029,Zacapa 23,Ron Zacapa Centenario 23,РОМ,Гватемала,23 года,40,1000,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S030,Matusalem Insolito Wine Cask,Matusalem Insolito Wine Cask,РОМ,Доминикана,3 года,40,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock|age_needs_verification,confirm_stock_before_asset_work
S031,Matusalem Gran Reserva 15,Matusalem Gran Reserva 15,РОМ,Доминикана,15 лет,40,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S032,Diplomatico Reserva Exclusiva,Diplomatico Reserva Exclusiva,РОМ,Венесуэла,12 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S033,Lamas Cigar Double Cask,Lamas Cigar Blend Double Cask,РОМ,Бразилия,,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S034,Havana Club Anejo 7,Havana Club Anejo 7 Anos,РОМ,Куба,7 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S035,Legendario Elixir De Cuba,Legendario Elixir de Cuba,РОМ,Куба,7 лет,34,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S036,Legendario Anejo Blanco,Legendario Anejo Blanco,РОМ,Куба,4 года,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm|age_needs_verification,find_image_and_verify_facts
S037,Legendario Aguardiente de Cana Natural,Legendario Aguardiente de Cana,РОМ,Куба,,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S038,Negrita Spiced Golden,Negrita Spiced Golden Rum,РОМ,Франция,,35,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S039,Martell Cohiba,Martell Cohiba Extra,КОНЬЯК,Франция,40-50 лет,43,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S040,Camus XO,Camus XO Elegance,КОНЬЯК,Франция,10 лет,40,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S041,Hennessy XO,Hennessy XO,КОНЬЯК,Франция,10 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S042,Hine Cigar Reserve XO,Hine Cigar Reserve XO,КОНЬЯК,Франция,10 лет,40,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S043,Chateau de Montifaud Grand Shampagne,Chateau de Montifaud XO Grande Champagne,КОНЬЯК,Франция,10 лет,40,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S044,Bisquit V.S.O.P.,Bisquit VSOP,КОНЬЯК,Франция,8-10 лет,40,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock|age_needs_verification,confirm_stock_before_asset_work
S045,Francois de Martignac VSOP,Francois de Martignac VSOP,КОНЬЯК,Франция,4-8 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm|age_needs_verification,find_image_and_verify_facts
S046,Hennessy VS,Hennessy VS,КОНЬЯК,Франция,2-7 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm|age_needs_verification,find_image_and_verify_facts
S047,Torres 10 Bourbon Barrel,Torres 10 Bourbon Barrel,БРЕНДИ,Испания,10 лет,38,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S048,Torres 10 Gran Reserva,Torres 10 Gran Reserva,БРЕНДИ,Испания,10 лет,38,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S049,Torres 10 Smoked Barrel,Torres 10 Smoked Barrel,БРЕНДИ,Испания,10 лет,38,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S050,Jagermeister,Jagermeister,ЛИКËР,Германия,,35,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S051,Monkey 47,Monkey 47 Schwarzwald Dry Gin,ДЖИН,Германия,,47,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S052,Roku,Roku Gin,ДЖИН,Япония,,43,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S053,Bombay Sapphire,Bombay Sapphire,ДЖИН,Великобритания,,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S054,Tanqueray London Dry,Tanqueray London Dry Gin,ДЖИН,Великобритания,,43,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S055,Hendrick's,Hendrick's Gin,ДЖИН,Шотландия,,44,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S056,Berkshire,Berkshire Botanical Dry Gin,ДЖИН,Великобритания,,40,500,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S057,Mont Blanc,Mont Blanc Vodka,ВОДКА,Франция,,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S058,Чистые Росы,Чистые Росы,ВОДКА,Россия,,40,500,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S059,Patron Silver,Patron Silver,ТЕКИЛА,Мексика,,35,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm|abv_market_variant,find_image_and_verify_facts
S060,Patron Reposado,Patron Reposado,ТЕКИЛА,Мексика,,37,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm|abv_market_variant,find_image_and_verify_facts
S061,Noble Coyote Espadin,Noble Coyote Espadin,МЕСКАЛЬ,Мексика,,43,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S062,La Escondida Grand,La Escondida Mezcal,МЕСКАЛЬ,Мексика,,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S063,Peloton De La Muerte,Peloton de la Muerte Espadin,МЕСКАЛЬ,Мексика,,41,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S064,Portal 20 Years Old Tawny Porto,Quinta do Portal 20 Year Old Tawny,ПОРТВЕЙН,Португалия,20 лет,20,750,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S065,Portal 10 Years Old Tawny Porto,Quinta do Portal 10 Year Old Tawny,ПОРТВЕЙН,Португалия,10 лет,20,750,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S066,Portal LBV,Quinta do Portal LBV Port,ПОРТВЕЙН,Португалия,4-6 лет,20,750,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S067,Kopke Fine Ruby,Kopke Fine Ruby Port,ПОРТВЕЙН,Португалия,,19,750,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S068,Kopke Fine Tawny,Kopke Fine Tawny Port,ПОРТВЕЙН,Португалия,,19,750,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S069,Pedro Ximenez,,ВЕРМУТ и ХЕРЕС,Испания,,17,750,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,brand_canonical|height_mm,find_image_and_verify_facts
S070,Garrone Antica Dry Riserva,Garrone Antica Dry Riserva,ВЕРМУТ и ХЕРЕС,Италия,,18,750,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S071,Lacuesta Bianco Extra Seco,Martinez Lacuesta Vermut Blanco Extra Seco,ВЕРМУТ и ХЕРЕС,Испания,,15,750,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S072,Martini Bianco,Martini Bianco,ВЕРМУТ и ХЕРЕС,Италия,,16,1000,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S073,Martini Extra Dry,Martini Extra Dry,ВЕРМУТ и ХЕРЕС,Италия,,18,1000,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S074,Martini Rosso,Martini Rosso,ВЕРМУТ и ХЕРЕС,Италия,,16,1000,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S075,Martini Fiero,Martini Fiero,ВЕРМУТ и ХЕРЕС,Италия,,15,1000,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
